OrderId,DishId,Amount
1,23,1
1,24,1
1,9,1
1,11,2
2,5,1
2,50,1
2,17,2
2,32,1
2,35,1
2,38,2
2,43,1
2,31,1
3,7,2
3,36,2
3,26,2
4,17,1
4,46,2
5,47,1
5,34,1
5,13,1
5,37,1
5,27,1
5,23,1
5,17,1
5,41,1
6,17,1
6,19,1
6,22,1
6,32,1
6,48,1
6,2,2
6,36,3
6,49,1
7,48,1
7,5,4
7,26,1
7,4,4
7,45,1
8,32,1
8,35,1
9,10,1
9,46,1
9,30,1
9,44,1
9,2,1
9,20,1
9,31,1
9,25,4
9,48,1
10,18,1
10,30,4
10,32,1
10,45,1
10,21,1
10,17,1
10,33,2
10,42,1
10,14,1
11,35,1
11,6,1
11,44,1
11,42,1
11,20,1
12,33,1
12,38,1
12,3,1
12,48,1
12,1,3
12,26,1
12,5,1
12,46,2
12,32,1
13,34,1
13,11,1
13,7,1
13,28,2
13,37,1
13,41,1
13,25,1
13,9,1
14,36,1
14,33,1
14,24,2
15,50,1
15,44,1
15,30,1
16,25,1
16,40,1
17,19,2
17,34,1
17,36,1
18,16,1
18,15,1
18,37,3
18,19,1
18,40,2
18,39,3
19,19,1
19,20,2
19,14,1
20,12,1
20,50,1
20,15,1
21,11,2
21,34,1
21,2,1
21,40,1
21,37,1
21,9,1
21,22,1
21,18,2
21,4,1
22,32,1
22,1,1
22,50,1
22,8,2
22,40,1
22,28,2
22,15,1
22,44,1
23,30,2
23,37,1
23,43,1
23,49,1
23,46,1
24,41,1
24,42,1
24,10,1
24,37,4
24,17,2
24,16,1
24,11,1
25,16,1
25,19,1
25,13,1
25,22,3
25,38,2
25,41,4
25,15,1
25,46,1
26,5,1
26,48,2
26,25,1
26,6,1
26,45,2
26,28,1
26,24,3
26,31,1
27,38,2
27,29,2
27,17,1
27,49,1
27,44,1
27,41,2
27,27,1
27,23,1
27,18,1
28,7,1
28,12,1
28,18,1
28,33,1
28,26,1
28,35,2
29,33,1
29,13,1
29,26,1
29,50,1
30,21,1
30,10,1
30,50,1
30,32,1
30,31,1
30,25,2
30,3,2
30,12,2
30,42,1
31,3,1
31,35,1
31,20,1
31,45,1
31,18,1
31,29,1
31,16,4
31,11,1
32,20,1
32,10,1
32,31,1
32,46,1
32,26,1
33,17,1
33,33,1
33,7,1
33,41,1
33,16,1
34,26,1
34,29,1
34,17,2
34,28,1
34,11,2
34,38,1
35,42,2
35,15,3
35,25,1
35,28,1
35,35,1
35,3,1
35,19,1
36,32,1
36,13,1
36,25,1
37,3,2
37,22,1
37,26,1
38,12,1
38,8,1
38,2,2
38,24,1
38,44,2
38,35,1
38,21,1
38,48,3
38,46,1
39,4,1
39,9,1
39,30,1
39,40,1
39,37,1
39,2,2
39,1,2
39,16,1
40,2,1
40,9,1
40,3,1
40,25,1
40,22,1
40,28,1
40,6,1
40,47,1
41,37,1
41,14,1
41,24,2
41,44,2
41,49,1
41,5,2
41,17,1
41,4,1
42,9,1
42,29,1
42,6,1
42,14,2
42,38,1
43,39,1
43,45,2
43,16,1
43,25,1
43,4,1
43,28,2
44,46,1
44,12,1
44,3,3
44,24,1
44,13,1
44,19,3
44,9,1
44,20,1
45,21,1
45,16,1
45,40,3
45,46,1
45,36,1
45,1,3
45,13,1
46,7,1
46,47,1
46,33,3
46,42,1
46,9,1
47,16,1
47,46,1
47,22,1
47,14,2
47,45,1
48,8,1
48,31,1
48,49,1
48,22,1
